birthday,height,name,nationality,sportsman_id,weight
332870400000,185,Bandula Herath,Liberia,SM916833598,78
344275200000,185,Aditya Kumar,Puerto_Rico,SM414616981,97
557334000000,185,Ramon Santos,Cambodia,SM157352929,99
360000000000,186,K. Singh,El_Salvador,SM518951895,102
441475200000,185,Don Miller,Bolivia,SM175884260,84
352483200000,175,Otto Kurková,Kazakhstan,SM501645099,77
389462400000,168,Joao Martins,Venezuela,SM526387885,97
532454400000,189,Wei Yang,Mauritius,SM301201068,88
478108800000,188,Antonio Lopez,India,SM524154171,100
517849200000,185,Ashok Sharma,South_Africa,SM967953082,71
420393600000,184,Shweta Irani,Libya,SM667378245,92
328032000000,178,Deepak Singh,Indonesia,SM419305020,100
340819200000,177,Alexei Dobrunov,Namibia,SM316638074,92
388512000000,169,Fritz Wagner,Malaysia,SM578363609,89
345830400000,168,Ashok Khan,Panama,SM378371142,81
513532800000,187,Louis Frey,Dominican_Republic,SM104634404,83
548694000000,191,Arun Kapoor,Mongolia,SM978627266,81
432748800000,187,Bum-Kun Choi,Laos,SM642509491,86
375552000000,171,Aditya Singh,Oman,SM806179015,69
460828800000,168,Haile Isso,Israel,SM871625684,101
441734400000,188,Shweta Sharma,United_Kingdom,SM453215459,76
570816000000,180,Andrei Pinzaru,Democratic_Republic_of_the_Congo,SM527651304,84
514742400000,174,Pol Dara,Estonia,SM651711442,71
505238400000,190,Li Li,Namibia,SM436482552,73
424886400000,177,Lei Chen,Norway,SM655360714,83
322761600000,170,Bingbing Yan,Hong_Kong,SM641195725,70
520786800000,172,Wilhelm Fischer,Nepal,SM419706091,74
615567600000,186,Andrei Efimkin,Bosnia_and_Herzegovina,SM155798726,81
610902000000,176,Jacques Ferrer,Cameroon,SM313126405,97
390931200000,186,Seyni Oumarou,Zambia,SM934935434,95
439401600000,185,Imran Hussain,Cambodia,SM774296397,97
328809600000,188,Jun Xu,Spain,SM176279172,77
342201600000,173,Albert Hassan,Kazakhstan,SM769232535,71
516207600000,185,Jacqueline Ho,Tanzania,SM806259250,93
340646400000,176,Joseph Kumar,Slovakia,SM970452312,70
424800000000,189,Rahul Sharma,Portugal,SM378315528,101
532713600000,179,Ricardo Mendez,England,SM280657884,92
322934400000,165,Fengyi Zhao,Austria,SM520570619,74
318700800000,176,C. S. Chopra,Swaziland,SM621917988,96
379440000000,176,Mirza Kalich Qureshi,Australia,SM946195884,97
451670400000,174,Yang Chen,Israel,SM543800406,76
404064000000,178,David Hunter,Norway,SM715012420,82
408556800000,188,Sanjay Sharma,Bosnia_and_Herzegovina,SM515330886,90
573580800000,190,Andres Agudelo,Scotland,SM688138953,88
435772800000,171,Vicente Gonzalez,Cuba,SM687402640,96
543513600000,174,Paul Brown,Libya,SM786351467,71
389462400000,171,Olga Hleb,Denmark,SM207299127,102
598291200000,169,Wei Li,Kazakhstan,SM529523627,84
395251200000,183,Laurent David,Brazil,SM690682883,79
383241600000,174,John Khan,Vietnam,SM202234659,71
347299200000,168,Lin Wang,Mauritius,SM593162185,72
582562800000,185,Felipe Oliveira,Cuba,SM759814825,91
386956800000,185,Peter Jones,Senegal,SM671263002,83
492451200000,187,Anant Singh,Tanzania,SM984173447,99
388598400000,183,Paul Davis,Panama,SM423023458,73
515520000000,174,Arjun Sharma,Croatia,SM623236407,69
567532800000,176,Jie Yang,Venezuela,SM948794716,86
551372400000,191,Mohamed Baya,Switzerland,SM517103571,98
346780800000,166,Allister Manyatsi,Greece,SM438053361,76
380822400000,191,William Sharma,Burma,SM476126495,74
519836400000,181,Walter Bauer,Pakistan,SM440053314,84
445968000000,170,Chau Do,Mongolia,SM862447167,90
323884800000,181,Zienia Karat,United_Kingdom,SM167023216,84
585586800000,171,Ahsan Bhutto,China,SM568091291,72
376934400000,176,Collins Omondi Amanaka,Turkey,SM325113949,86
570643200000,181,Asim Ahmed,Malaysia,SM602485009,93
375379200000,167,Adam Kaczmarek,Tunisia,SM975141740,80
607795200000,176,Pietro Greco,Zambia,SM602309630,86
458841600000,188,Donald Smith,Austria,SM426508890,86
465753600000,190,Ahsan Khan,Philippines,SM315718657,94
599587200000,182,Paulo Oliveira,Rwanda,SM833897962,76
467827200000,171,Manuel Garcia,Peru,SM304417555,77
331920000000,189,Chairil Thielsch,Afghanistan,SM806181077,98
631900800000,170,Jose Salvador,Scotland,SM299131624,102
447955200000,171,Yiannis Alkaios,Burma,SM417570257,100
495648000000,178,Jie Wu,Malta,SM164869896,98
582476400000,167,Julia Haarhoff,Northern_Ireland,SM706983225,88
605721600000,174,Emperor of Brazil Machado,Senegal,SM217389172,94
328636800000,169,Csaba Szabo,Dominican_Republic,SM947815739,96
596995200000,183,Cristian Montt,Panama,SM973366850,88
387561600000,175,Rafael Silva,Scotland,SM267677035,70
478627200000,170,Ching Pham,Portugal,SM898730758,91
414518400000,186,Imran Ahmad,Finland,SM825048846,88
537552000000,189,Deepak Chopra,Mongolia,SM778592438,93
572889600000,172,Annemarie Bos,Namibia,SM729427129,69
339350400000,178,Karim Bajt,Belgium,SM803554542,69
603302400000,178,Guillermo Rodriguez,Poland,SM185517713,95
627321600000,190,Pedro Alonso,Madagascar,SM654092883,85
415123200000,180,Jie Yang,Denmark,SM226483292,74
387475200000,166,Alexandre Costa,Netherlands,SM425579813,71
370886400000,171,Arjun Kumar,El_Salvador,SM367003487,102
522428400000,180,Jie Li,Estonia,SM619716086,75
335289600000,181,Andrzej Beck,Russia,SM724845760,88
555260400000,189,Bing Yang,Austria,SM932761899,94
391536000000,190,Roberto Munoz,Kazakhstan,SM355111398,102
445708800000,182,Jose Garcia,Indonesia,SM108111906,81
355161600000,174,Francisco Pinto,Philippines,SM987344501,99
386179200000,187,Bruno Ferreira,Mexico,SM972822879,82
437673600000,178,Chen Wei,Germany,SM331073885,101
332784000000,171,K. Khan,Canada,SM391184115,81
346089600000,176,Franz Hoffmann,Libya,SM697523271,94
484156800000,183,Joseph Sotto,Uruguay,SM772684133,92
570988800000,169,Pierre David,Zambia,SM975309344,91
573840000000,190,Arturo Gonzalez,Bulgaria,SM347775329,98
510508800000,187,Rene Buysse,Republic_of_Ireland,SM874720419,75
527961600000,172,Anastasia Dobrunov,China,SM380910852,100
456249600000,165,Li Zhang,Libya,SM646901467,101
418752000000,173,Anh Ho,Thailand,SM539144301,87
373219200000,179,Carlos Sanchez,Argentina,SM601286218,77
465840000000,167,Bingjian Li,Niger,SM796706990,81
436550400000,189,Anthony Nasenyana,Thailand,SM524124508,83
464284800000,173,Baktykozha Iglinsky,Northern_Ireland,SM837088252,92
347299200000,167,Per Andersson,Colombia,SM290719617,94
546793200000,181,Kittipol Boy,Iran,SM839974090,84
567187200000,165,Kenji Inoue,Russia,SM290977566,84
462038400000,184,Zheng Zhao,Australia,SM280982733,95
329328000000,174,Eddie Binalshibh,Slovakia,SM625511804,91
534787200000,185,Shweta Khan,Libya,SM367895227,73
522514800000,172,Adisorn Paphunga,United_Kingdom,SM866305750,102
471888000000,178,Rudolf Hartmann,Poland,SM569978174,88
351273600000,168,Aditya Singh,Puerto_Rico,SM486415915,101
588956400000,174,Lei Zhang,Libya,SM455703875,77
451929600000,185,Ching Hoang,Pakistan,SM581044711,93
382291200000,191,Mike Fox,Oman,SM401773754,95
614012400000,190,Otto Beran,Libya,SM604725438,89
330796800000,180,Cesar Loan,Pakistan,SM831586967,98
454262400000,185,Pol Rundaro,Czech_Republic,SM364268772,77
371318400000,187,Andre Arnaud,Oman,SM652606196,82
437932800000,190,Tom Brown,Peru,SM338502455,69
597600000000,186,Antonio Chavez,Greece,SM407128172,74
355161600000,183,Mahmoud Aldebe,Czech_Republic,SM364023512,97
354816000000,189,Shweta Kumar,Scotland,SM929801279,85
495561600000,183,Alexandra Garlitsky,Indonesia,SM161501368,89
320428800000,191,Aditya Rao,Rwanda,SM388403971,78
494611200000,176,Fritz Becker,United_States,SM809856943,93
342547200000,180,Fernando Gonzalez,Thailand,SM544279749,85
388857600000,181,Bingjian Xu,Belarus,SM458972606,69
383068800000,165,Yang Zhu,Malaysia,SM719663554,70
333043200000,177,Paolo Colombo,Belarus,SM371961644,79
457718400000,183,Alfonso Calvo Cuellar,Germany,SM625449348,88
594921600000,179,Lei Li,Cameroon,SM902109335,96
544723200000,185,Edip Alp,Chad,SM604563729,89
428428800000,176,Kiril Kolev,Philippines,SM855462745,79
402768000000,165,Alice Yang,Malta,SM437148963,70
530467200000,167,Takeshi Kato,Zambia,SM486598411,80
377625600000,179,A. Rao,Ethiopia,SM344999899,101
596908800000,184,Abdala Faye,Switzerland,SM622845921,101
599673600000,184,Kirill Basov,Angola,SM356505553,91
627494400000,171,Abhishek Khan,Uruguay,SM718034533,85
386006400000,190,K. Singh,Hong_Kong,SM547658102,84
328809600000,189,Ivan Merzhanov,Malta,SM537337711,102
612975600000,184,Ahmad Kamkar,Northern_Ireland,SM663409709,84
582994800000,177,Yacoub Faye,Czech_Republic,SM273952350,100
602438400000,168,Juan Lopez,Mexico,SM332579262,77
558892800000,187,Abdou Dia,Australia,SM715411786,102
331747200000,191,Richard Reyes,Uruguay,SM606612368,102
598982400000,182,Mikhail Berman,Mauritius,SM443654530,80
445276800000,178,Antonio Alonso,Bosnia_and_Herzegovina,SM647466748,83
534009600000,180,Colin Robinson,Honduras,SM644020810,95
627062400000,189,Chengying Wang,Chile,SM198554316,96
578761200000,190,R. Kumar,Denmark,SM906509358,89
590515200000,169,Chengdong Yang,Lithuania,SM478218613,83
366652800000,182,Amit Kumar,Mauritius,SM672820337,79
410457600000,175,Abraham Berg,Hong_Kong,SM143084263,69
395856000000,168,Sirak Mamo,Peru,SM487269593,88
537206400000,172,Otto Becker,Bosnia_and_Herzegovina,SM471330672,89
482515200000,186,Deep Jasani,Croatia,SM860462547,84
551890800000,179,Ning Li,Cameroon,SM713348183,76
496598400000,171,Johannes Muller,El_Salvador,SM834998702,95
402940800000,178,K. Singh,Slovenia,SM256394684,84
356544000000,178,Karan Kapoor,Pakistan,SM780461189,86
441388800000,185,Kaoru Inoue,Cuba,SM243047272,90
440870400000,189,Rahul Khan,China,SM404675752,69
621702000000,187,Eddie Cruz,Sweden,SM647674402,91
630345600000,168,Med Vall,Nepal,SM713892394,92
557161200000,167,Abhishek Sharma,Ethiopia,SM891371837,82
352915200000,187,Bingbing Li,Poland,SM409437359,81
408038400000,183,Zeki Koksal,Wales,SM339198125,83
440352000000,173,Eve-Mary Thai Ha,Malaysia,SM380458023,78
617727600000,172,Israel Hashai,Zambia,SM410849018,81
606067200000,168,Ouwo Moussa Abouba,Mongolia,SM658886883,95
458668800000,185,Abdul Razzak Aman,Canada,SM187573007,81
561744000000,166,Jun Wang,Croatia,SM788969659,75
327513600000,186,Barbara Omonga,Laos,SM800797339,71
515602800000,178,Budi Budjana,Namibia,SM730962816,74
375292800000,188,Leonid Makarova,Chile,SM477963045,95
585586800000,185,Yuki Ito,Italy,SM685896149,86
443462400000,177,Yang Zhang,Norway,SM991072729,102
616258800000,168,Artur Lepland,Nicaragua,SM845657475,97
561916800000,168,P. Perera,Peru,SM752922201,90
369504000000,179,A. Sivan,Belgium,SM567780197,76
608054400000,172,Bing Yang,Iran,SM591660890,98
593020800000,170,Juliana Costa,Burma,SM711829290,79
621097200000,183,Baby Wang,Germany,SM220928593,91
461260800000,173,Alexandr Bajt,Nepal,SM468237520,71
573580800000,187,Abdou Dia,Panama,SM712221293,101
498153600000,186,Arun Singh,Estonia,SM334646853,81
373564800000,169,Andrei Hleb,Tunisia,SM749896285,98
396028800000,172,Jaime Gonzalez,Tajikistan,SM122161221,88
532195200000,188,Abdul Haris Anwar,Panama,SM142700511,83
490291200000,171,Vladimir Eduard,Argentina,SM449287040,81
325180800000,170,Joseph Smith,Chad,SM725302013,99
616086000000,165,Henri Bettens,Greece,SM340452229,83
322243200000,191,Carlo Garcia,Mongolia,SM697129679,87
367171200000,166,Bingyi Liu,Taiwan,SM429952964,70
437068800000,165,K. Nair,Sri_Lanka,SM677726136,87
493401600000,175,Klaus Engel,Ethiopia,SM551213667,97
361296000000,177,Ashok Khan,Swaziland,SM792730453,87
370281600000,187,Hiroshi Sato,Portugal,SM396119273,81
618591600000,169,Viktor Agrest,Nicaragua,SM714723215,83
392227200000,165,Arjun Singh,France,SM493839790,81
469900800000,187,Mario Alonso,Denmark,SM748356157,94
330883200000,179,Deepak Singh,Peru,SM120727202,96
378921600000,165,Anand Wattansin,Democratic_Republic_of_the_Congo,SM177658325,96
501696000000,174,Jana Kerndlova,Norway,SM685396153,94
375552000000,175,Arun Khan,Azerbaijan,SM824964946,93
532886400000,169,A. Sharma,Democratic_Republic_of_the_Congo,SM870703492,75
622656000000,190,Jimmy Bembo-Leta,Morocco,SM212532846,90
474307200000,180,Meera Sharma,Hungary,SM385769746,89
574963200000,185,Ritchie Kanam,India,SM193885024,70
332956800000,171,Michelle Maclean,Senegal,SM545586358,80
444412800000,184,Abdellatif Chihab,Dominican_Republic,SM158848759,92
378921600000,185,Ismail Omar Bahaina,Chile,SM738749932,92
583858800000,171,Peng Hu,China,SM266243193,88
598032000000,188,Leandro Alves,Dominican_Republic,SM140220013,69
590169600000,188,Chen Wang,Lithuania,SM708626707,83
491500800000,187,Dieu Hoa Ha,Portugal,SM979596848,85
607449600000,176,Ramon Reyes,Uruguay,SM114259499,77
602784000000,191,John Tembo,Australia,SM480105210,76
481910400000,173,Patricio González,Namibia,SM831868500,84
563644800000,190,Salma Malik,Latvia,SM329502798,91
323452800000,179,Eddie Aquino,Italy,SM845639954,87
633715200000,176,Anura De Silva,Taiwan,SM755551272,85
622224000000,189,A. Kumar,United_States,SM191742843,69
338486400000,169,Jorge Araujo Castro,Chile,SM947390112,75
329500800000,174,Bingbing Wang,Republic_of_Ireland,SM882761140,90
540057600000,178,Lei Wu,Democratic_Republic_of_the_Congo,SM848189947,94
331574400000,180,Claude Mangalaza,Republic_of_Macedonia,SM194593297,99
328636800000,186,Jerzy Ciesla,Dominican_Republic,SM133344180,88
530035200000,189,Yang Lei,Indonesia,SM528301487,73
507830400000,170,Hao Zhang,China,SM412498346,98
454953600000,183,Carlos Silva,Senegal,SM697823509,93
366998400000,173,V. Joshi,Tanzania,SM125682461,77
330278400000,172,Gamini Dineth,Latvia,SM932828260,93
442339200000,177,Abhishek Jain,Zambia,SM146264169,99
395596800000,187,Cheng Zhang,Vietnam,SM465011907,78
463161600000,191,Bernard Arnaud,Malta,SM459252471,82
422899200000,172,Anastasia Balawan,Colombia,SM700668524,83
543427200000,180,Rahim Zaland,Indonesia,SM878033659,80
474220800000,174,John Ahmed,Namibia,SM443513376,93
541267200000,165,Alfred Bauer,Uruguay,SM247360968,76
572630400000,169,Mohamed Hassan,New_Zealand,SM901921211,101
458323200000,183,Jack Thomas,Japan,SM686160421,87
544204800000,175,Zbigniew Kowalski,India,SM337079951,77
335203200000,184,Edward Kaczmarek,Wales,SM386189035,84
338140800000,168,David Hughes,Afghanistan,SM856637494,92
342115200000,175,Werner Becker,Switzerland,SM488806881,82
382809600000,182,Kunal Khan,Estonia,SM159501960,96
590342400000,182,Ali Abdullayev,Netherlands,SM599437526,69
569952000000,175,Đinh Diễm Liên Bach,Yemen,SM374390099,99
513187200000,189,Carlos Bravo,Peru,SM427922980,95
476208000000,180,Evgeny Feltsman,India,SM790394653,100
471369600000,171,Ahsan Qureshi,Morocco,SM719568452,96
530121600000,182,K. Singh,Azerbaijan,SM147501532,96
497289600000,179,John Chatterjee,Philippines,SM515322112,93
369331200000,184,Ali Kamkar,Czech_Republic,SM643204736,89
429465600000,176,Faisal Qureshi,United_Kingdom,SM441103434,71
575740800000,191,Chengying Yang,Laos,SM328277182,102
631468800000,170,Abdoulatifou Aly,Bolivia,SM894315046,99
528134400000,173,Bo Larsson,Portugal,SM587116090,101
424627200000,180,Aharon Galula,Mongolia,SM129046145,102
629654400000,181,Aditya Narayan,Niger,SM486263934,95
628963200000,169,John Smith,Slovenia,SM645029904,81
495907200000,178,Karan Sharma,Papua_New_Guinea,SM375386617,91
351878400000,175,Hiroko Suzuki,Singapore,SM126037197,71
471456000000,173,Salim Ahmed Alhouthi,Belgium,SM729892972,91
568828800000,183,Sergio Alves,Azerbaijan,SM776662812,89
320342400000,187,Rudolf Schmidt,Angola,SM139723164,77
556297200000,172,Shweta Kapoor,Oman,SM173107221,89
420998400000,169,Zaenal Anwar,Bulgaria,SM435421380,93
453052800000,187,Finn Eriksen,New_Zealand,SM847496807,96
342892800000,187,Lei Lei,South_Africa,SM519163543,82
600624000000,187,Shweta Reddy,Sri_Lanka,SM591025828,78
464803200000,179,Jun Zhu,Vietnam,SM572259954,89
374947200000,169,Sinn Chau,Panama,SM707266161,78
512841600000,180,Baby Wang,Rwanda,SM588285396,100
456940800000,191,Mathieu Kanam,South_Africa,SM897641350,86
365875200000,175,Albert Vanunu,Chad,SM775907579,96
614617200000,178,John du Preez,Morocco,SM660236598,88
605894400000,179,Alec Lin,Swaziland,SM879178158,89
435772800000,178,David Brown,Estonia,SM551835446,71
543945600000,187,Carolina Rodriguez,Croatia,SM346886217,92
586105200000,187,Mohamed Aouadhi,Thailand,SM494473072,87
415468800000,165,Anton Barun,England,SM589447764,80
599673600000,173,Aziz Chedid,Dominican_Republic,SM170603493,97
468172800000,176,Antonio Garcia,Nicaragua,SM222690280,69
347472000000,171,Nikhil Khan,Tajikistan,SM385821217,71
417974400000,179,Cesar Lopez,Tajikistan,SM197210185,85
492624000000,175,John Khan,Republic_of_Macedonia,SM699279670,102
457027200000,172,George Smith,Niger,SM433560154,96
515775600000,172,John Anand,Russia,SM477973134,88
331920000000,169,Michael Clark,Denmark,SM415075447,84
444412800000,191,Jeff Brown,Sweden,SM697098653,82
572371200000,172,Akira Suzuki,Spain,SM341559266,91
490723200000,190,Javed Babar,United_States,SM137376290,73
369936000000,177,R. Rao,Oman,SM597942900,100
618678000000,180,Mathieu Bembo-Leta,Pakistan,SM741092936,82
384278400000,184,A. Mohede,New_Zealand,SM839168933,83
521823600000,169,Deepak Reddy,Tunisia,SM252195471,90
352137600000,180,Angela Wang,Switzerland,SM647680272,75
492624000000,186,Abdala Ndiaye,Pakistan,SM872655695,70
461001600000,186,Alexei Dobrunov,Finland,SM686022715,82
418147200000,170,Asim Ali,Iran,SM997414078,82
518540400000,165,Joseph Reddy,Puerto_Rico,SM720658919,93
561571200000,174,Gregorio Fernandez,Oman,SM239607045,73
535132800000,182,Wuttichai Supinyo,Scotland,SM188420830,94
604857600000,185,Mikhail Gusev,Republic_of_Ireland,SM913838332,69
415555200000,186,Andriy Kofler,Puerto_Rico,SM482660387,84
356889600000,191,Frank Roberts,Egypt,SM186197025,81
450115200000,168,Jie Zhang,Senegal,SM178989524,101
387993600000,182,Paul Smith,Taiwan,SM952840486,97
505238400000,172,Diem Ha,Bulgaria,SM526188976,92
558025200000,189,Ashok Kumar,Norway,SM288730092,101
355334400000,189,Alexei Goma,Mauritius,SM311350546,94
515174400000,170,Ken Maeda,Cambodia,SM439525384,96
535132800000,189,Abdulwahab Hamdan,Netherlands,SM632163187,99
440956800000,165,Ali Koksal,Oman,SM965217827,73
605635200000,187,George Czakó,Ukraine,SM853865658,89
460569600000,174,Billinjer C Ho,Angola,SM765885674,93
481824000000,178,Ashin Mettacara,Liberia,SM941959845,101
411840000000,166,Nikolay Shevchenko,Ethiopia,SM296295265,94
487785600000,178,Yang Lei,Scotland,SM812466533,85
390240000000,168,Gyula Nagy,Angola,SM685695469,98
369763200000,166,Tayfun Arikan,Afghanistan,SM390933484,102
392140800000,181,Chutima Paphunga,Panama,SM709385096,95
348768000000,174,Andrew Adhia,Ethiopia,SM909892148,80
523638000000,184,Mike Smith,Sri_Lanka,SM162467344,101
623865600000,183,Albade Lo,Malaysia,SM991061067,89
390585600000,190,Daouda Malam Abouba,Latvia,SM811300527,69
358704000000,184,Arun Singh,Cambodia,SM874800459,93
584031600000,168,Lin Zhu,Madagascar,SM110432235,80
518886000000,168,Arjun Singh,Jordan,SM991419968,93
453657600000,182,Emperor of Brazil Oliveira,Russia,SM263143841,75
444844800000,186,Lei Zhang,Belarus,SM757316665,72
370713600000,166,Choi Kim,Greece,SM656632275,86
423676800000,188,Shweta Singh,Slovakia,SM211171563,88
512409600000,181,Erik Andresen,Cameroon,SM153460371,74
416937600000,178,Anthony Clarke,Sweden,SM142483475,78
418233600000,191,Caroline Alves,Nicaragua,SM638905916,90
489686400000,167,Lin Yang,Romania,SM141971730,90
328982400000,185,Shweta Anand,Yemen,SM351256243,76
471801600000,188,Hồ Chí Hoang,Cuba,SM446787849,96
411321600000,186,John Reddy,Italy,SM554041031,76
599500800000,185,Jean Breton,Puerto_Rico,SM615773760,76
507052800000,189,Dumitru Popescu,Azerbaijan,SM544891723,79
548175600000,180,Michael Martin,Turkey,SM669916786,84
410198400000,188,Ricardo Araujo,South_Africa,SM683986760,92
364579200000,179,Aditya Reddy,Iran,SM283269860,78
426528000000,182,Juan Manuel Arango,Mauritania,SM233944891,91
575049600000,187,Bich Phuong Hoang,Belarus,SM229222752,72
601660800000,171,Nol Chau,Germany,SM929346492,85
387907200000,184,Daniil Feltsman,Venezuela,SM786256235,94
622915200000,182,Artika Sari Thielsch,Liberia,SM659162872,97
527875200000,179,Abhishek Sharma,Nicaragua,SM190436112,96
401731200000,184,Javier Martinez,Brazil,SM589346574,84
493056000000,191,Muhammad Anwar,El_Salvador,SM162192625,79
362678400000,171,Pisith Dara,Norway,SM515898246,92
361900800000,176,Pepe Santos,Zambia,SM650468619,87
359308800000,182,Deepak Khan,Nicaragua,SM970101554,79
617209200000,173,Fritz Schmidt,Mauritius,SM831493577,99
539712000000,176,Alexsandr Aab,Namibia,SM306362287,83
586018800000,172,Rodrigo Oliveira,South_Africa,SM217487270,75
337968000000,187,Chen Wei,Wales,SM907608950,87
343843200000,180,Constantin Popescu,Norway,SM400491727,96
628531200000,174,Nikos Ioannidis,Belgium,SM285126650,94
597772800000,170,Guillermo Gutierrez,Jordan,SM302790293,98
393696000000,186,Zhang Hu,Morocco,SM302739449,81
440784000000,185,A. K. Singh,Republic_of_Macedonia,SM622496259,79
433958400000,178,Miguel Elizalde,Honduras,SM792548501,90
450028800000,184,Yuki Suzuki,Laos,SM325837525,87
476640000000,183,Rahul Sharma,Egypt,SM574551089,82
339523200000,174,Mario Bindi,Hungary,SM974903400,98
452188800000,173,Michal Zakrzewski,Afghanistan,SM287369858,75
436896000000,168,Lê Quang Loan,Pakistan,SM141671051,77
491932800000,176,George Laszlo,Belarus,SM175549576,80
609001200000,176,Jonas Nilsson,Vietnam,SM276409373,87
432230400000,168,Peng Liu,Tajikistan,SM391657984,95
568137600000,173,Javier Alonso,Norway,SM138403599,81
469900800000,165,Li Yang,Sri_Lanka,SM977205097,77
380476800000,168,Anang Gallagher,Namibia,SM950141388,79
539971200000,186,Hassan Ebadi,Azerbaijan,SM308867588,73
560361600000,175,Imran Ahmed,Thailand,SM148503141,81
419097600000,173,Ernst Balcar,Slovakia,SM976596313,96
549644400000,184,K. Chopra,Jordan,SM582053701,79
576860400000,166,M Bandaranaike,Lithuania,SM483469361,73
399571200000,178,Yang Li,Egypt,SM451546968,95
548866800000,187,Georges Martin,Madagascar,SM441715502,95
469728000000,166,Alexsandr Aab,Nepal,SM284250240,79
593884800000,173,Franz Becker,Chile,SM530929934,86
387907200000,185,Beibut Aubakirov,Madagascar,SM465611473,75
450115200000,181,Oğuz Ak,Italy,SM324750550,75
355593600000,178,Sombat Wattansin,Tunisia,SM927354312,71
481132800000,188,James Williams,Finland,SM426226891,82
527702400000,165,Chen Wang,Scotland,SM715018826,80
591292800000,180,Andriy Kogan,Estonia,SM978930214,90
607968000000,171,Ashok Kumar,Panama,SM760530242,92
325094400000,187,Andreas Angello,Puerto_Rico,SM479955070,96
480441600000,167,Wolfgang Becker,Nicaragua,SM204970663,100
556124400000,174,Yang Li,Belarus,SM259594897,82
538416000000,183,Aad De Jong,Czech_Republic,SM584418096,101
588783600000,181,Dominic Burak,Republic_of_Macedonia,SM785219909,77
603302400000,171,Jose Abascal,Morocco,SM775966889,83
517071600000,182,Talat Hussain,Burma,SM561337121,98
508348800000,165,Alfonso Alvarez,Norway,SM578688429,72
370800000000,188,Nicolas Breton,Cambodia,SM867556752,83
473097600000,179,Kostas Antoniou,Uruguay,SM366250022,75
393004800000,175,Kenji Ito,Ukraine,SM248439680,84
462902400000,171,Asim Khan,Cuba,SM583474057,90
